volunteer_id,ministry,start_date,active,hours_per_month
V1001,Hospitality,2021-11-29,TRUE,7
V1002,Worship,2020-09-27,TRUE,13
V1003,Children's Ministry,2022-08-27,TRUE,11
V1004,Worship,2022-08-25,TRUE,18
V1005,Worship,2024-04-19,TRUE,14
V1006,Hospitality,2021-04-10,TRUE,22
V1007,Children's Ministry,2023-10-04,TRUE,9
V1008,Hospitality,2022-07-01,TRUE,11
V1009,Outreach,2023-10-21,TRUE,15
V1010,Children's Ministry,2023-02-06,TRUE,13
V1011,Tech,2024-05-02,TRUE,6
V1012,Tech,2024-03-16,TRUE,7
V1013,Children's Ministry,2022-12-28,TRUE,1
V1014,Tech,2022-08-06,TRUE,16
V1015,Outreach,2020-09-22,TRUE,10
V1016,Hospitality,2024-04-17,TRUE,4
V1017,Outreach,2021-06-09,TRUE,4
V1018,Outreach,2022-01-09,FALSE,0
V1019,Youth,2024-01-29,TRUE,6
V1020,Tech,2024-01-10,TRUE,20
V1021,Hospitality,2024-11-22,TRUE,11
V1022,Children's Ministry,2021-04-27,TRUE,9
V1023,Outreach,2022-04-17,FALSE,0
V1024,Hospitality,2020-03-31,TRUE,19
V1025,Tech,2024-09-07,FALSE,0
V1026,Worship,2020-06-29,TRUE,11
V1027,Hospitality,2020-07-29,TRUE,13
V1028,Outreach,2024-09-22,TRUE,14
V1029,Children's Ministry,2023-11-19,TRUE,8
V1030,Children's Ministry,2024-03-23,FALSE,0
V1031,Children's Ministry,2024-05-25,FALSE,0
V1032,Youth,2021-09-17,FALSE,0
V1033,Tech,2022-08-03,TRUE,-1
V1034,Tech,2023-03-18,FALSE,0
V1035,Outreach,2023-07-02,FALSE,0
V1036,Tech,2024-08-12,TRUE,11
V1037,Worship,2022-11-20,TRUE,13
V1038,Youth,2023-03-21,TRUE,13
V1039,Outreach,2021-11-12,TRUE,11
V1040,Outreach,2023-11-02,TRUE,17
V1041,Outreach,2022-05-06,TRUE,7
V1042,Worship,2020-04-11,TRUE,13
V1043,Youth,2024-03-09,TRUE,8
V1044,Hospitality,2024-02-29,FALSE,0
V1045,Outreach,2024-05-29,TRUE,9
V1046,Hospitality,2022-01-25,TRUE,11
V1047,Hospitality,2020-08-23,TRUE,11
V1048,Hospitality,2024-09-08,TRUE,15
V1049,Tech,2022-09-16,FALSE,0
V1050,Worship,2022-08-01,TRUE,9
V1051,Outreach,2021-12-01,FALSE,0
V1052,Outreach,2020-06-25,TRUE,13
V1053,Worship,2020-12-15,TRUE,12
V1054,Youth,2023-04-01,TRUE,16
V1055,Hospitality,2024-04-06,TRUE,15
V1056,Worship,2021-05-22,FALSE,0
V1057,Outreach,2024-12-25,TRUE,10
V1058,Children's Ministry,2022-02-10,FALSE,0
V1059,Youth,2024-01-27,TRUE,18
V1060,Youth,2020-08-10,TRUE,14
V1061,Children's Ministry,2024-01-26,TRUE,9
V1062,Outreach,2020-07-01,FALSE,0
V1063,Hospitality,2024-12-01,TRUE,14
V1064,Children's Ministry,2024-06-20,TRUE,20
V1065,Youth,2021-03-26,TRUE,13
V1066,Hospitality,2022-07-02,TRUE,5
V1067,Hospitality,2022-06-08,FALSE,0
V1068,Hospitality,2024-06-03,TRUE,5
V1069,Outreach,2021-02-07,TRUE,14
V1070,Worship,2024-04-07,TRUE,16
V1071,Worship,2022-08-26,FALSE,0
V1072,Tech,2022-07-22,TRUE,9
V1073,Children's Ministry,2021-06-28,TRUE,10
V1074,Children's Ministry,2021-08-28,TRUE,9
V1075,Children's Ministry,2020-03-06,TRUE,11
V1076,Outreach,2022-04-08,TRUE,15
V1077,Outreach,2024-03-20,TRUE,16
V1078,Youth,2020-10-08,TRUE,15
V1079,Youth,2020-08-01,TRUE,11
V1080,Youth,2024-06-05,FALSE,0
V1081,Tech,2024-01-17,FALSE,0
V1082,Worship,2023-11-20,FALSE,0
V1083,Hospitality,2024-06-13,TRUE,14
V1084,Children's Ministry,2024-05-03,FALSE,0
V1085,Outreach,2022-04-26,TRUE,11
V1086,Outreach,2024-05-01,TRUE,4
V1087,Worship,2022-09-23,TRUE,13
V1088,Tech,2020-07-10,TRUE,10
V1089,Hospitality,2022-02-20,TRUE,12
V1090,Children's Ministry,2025-01-01,TRUE,9
V1091,Worship,2023-07-07,TRUE,12
V1092,Worship,2023-12-01,TRUE,21
V1093,Outreach,2022-09-01,TRUE,10
V1094,Hospitality,2020-04-30,FALSE,0
V1095,Tech,2022-02-02,TRUE,5
V1096,Children's Ministry,2023-01-29,TRUE,7
V1097,Youth,2020-04-18,TRUE,17
V1098,Worship,2020-03-19,TRUE,8
V1099,Tech,2023-12-02,TRUE,11
V1100,Children's Ministry,2023-01-17,TRUE,12
V1101,Hospitality,2020-12-02,FALSE,0
V1102,Children's Ministry,2023-03-29,FALSE,0
V1103,Worship,2022-05-10,TRUE,17
V1104,Worship,2021-04-24,TRUE,10
V1105,Children's Ministry,2020-06-24,FALSE,0
V1106,Youth,2023-05-22,TRUE,5
V1107,Outreach,2023-06-01,TRUE,11
V1108,Outreach,2022-12-18,FALSE,0
V1109,Youth,2020-10-19,FALSE,0
V1110,Children's Ministry,2021-11-17,FALSE,0
V1111,Youth,2020-04-29,TRUE,3
V1112,Tech,2024-05-17,TRUE,13
V1113,Outreach,2024-06-01,TRUE,12
V1114,Children's Ministry,2024-06-23,TRUE,23
V1115,Worship,2022-05-12,TRUE,14
V1116,Outreach,2024-01-14,TRUE,14
V1117,Youth,2023-07-01,TRUE,11
V1118,Hospitality,2024-03-19,TRUE,15
V1119,Youth,2020-09-13,TRUE,19
V1120,Outreach,2020-07-09,TRUE,22
V1121,Tech,2021-12-02,TRUE,13
V1122,Hospitality,2020-11-23,TRUE,17
V1123,Hospitality,2024-06-30,TRUE,9
V1124,Hospitality,2021-10-11,TRUE,13
V1125,Worship,2021-08-16,TRUE,18
V1126,Hospitality,2023-04-16,TRUE,11
V1127,Worship,2023-01-14,TRUE,15
V1128,Worship,2024-12-07,TRUE,14
V1129,Children's Ministry,2021-02-19,TRUE,15
V1130,Outreach,2024-04-01,TRUE,14
V1131,Tech,2022-02-22,TRUE,11
V1132,Outreach,2021-10-14,TRUE,8
V1133,Tech,2024-03-04,TRUE,12
V1134,Youth,2023-12-21,TRUE,10
V1135,Outreach,2023-11-27,TRUE,16
V1136,Youth,2022-05-27,TRUE,17
V1137,Tech,2024-02-11,TRUE,19
V1138,Youth,2023-11-25,FALSE,0
V1139,Youth,2021-05-19,TRUE,18
V1140,Outreach,2024-01-18,TRUE,8
V1141,Youth,2023-01-31,TRUE,17
V1142,Tech,2021-11-25,TRUE,14
V1143,Tech,2024-07-17,TRUE,3
V1144,Youth,2022-11-02,FALSE,0
V1145,Children's Ministry,2024-02-24,TRUE,7
V1146,Youth,2021-02-04,FALSE,0
V1147,Hospitality,2022-11-21,FALSE,0
V1148,Worship,2023-12-14,TRUE,0
V1149,Youth,2020-07-28,TRUE,11
V1150,Tech,2020-07-30,TRUE,13
